1445041119,1445041394,1445041454,1445041464
1445041494,1445041792,1445041852,1445041862
1445041892,1445042189,1445042249,1445042258
1445043553,1445044138,1445044198,1445044210
1445044240,1445045345,1445045405,1445045417
1445053897,1445054548,1445054608,1445054620
1445272254,1445272890,1445272950,1445272965
1445273795,1445274427,1445274487,1445274500
1445274530,1445275397,1445275457,1445275472
1445275502,1445276536,1445276596,1445276610
1445280957,1445281551,1445281611,1445281626
1445281656,1445282487,1445282547,1445282560
1445282590,1445283577,1445283637,1445283653
1445283683,1445284863,1445284923,1445284936
1445284966,1445286353,1445286413,1445286431
1445286461,1445288068,1445288128,1445288142
1445288172,1445290214,1445290274,1445290288
1445290318,1445292847,1445292907,1445292920
1445292950,1445295806,1445295866,1445295879
1445295909,1445299376,1445299436,1445299449
1445303905,1445307950,1445308010,1445308022
1445308052,1445313485,1445313545,1445313561
1445313591,1445319326,1445319386,1445319401
1445319431,1445324384,1445324444,1445324459
1445324489,1445330288,1445330348,1445330363
1445330393,1445336370,1445336430,1445336444
1445336474,1445342938,1445342998,1445343016
1445343046,1445348656,1445348716,1445348730
1445348760,1445355051,1445355111,1445355126
1445365189,1445365465,1445365525,1445365535
1445378160,1445378464,1445378524,1445378539
1445380990,1445381527,1445381587,1445381599
1445381629,1445382426,1445382486,1445382495
1445382525,1445383438,1445383498,1445383509
1445383539,1445384614,1445384674,1445384685
1445384715,1445385980,1445386040,1445386051
1445386081,1445387594,1445387654,1445387666
1445387696,1445389440,1445389501,1445389512
1445389542,1445391572,1445391632,1445391642
1445391672,1445393977,1445394037,1445394048
1445394078,1445396830,1445396890,1445396900
1445396930,1445399823,1445399883,1445399894
1445399924,1445403266,1445403326,1445403336
1445403366,1445407457,1445407517,1445407528
1445407558,1445411780,1445411840,1445411851
1445411881,1445416568,1445416628,1445416639
1445416669,1445422513,1445422573,1445422583
1445422613,1445428727,1445428787,1445428797
1445428827,1445435099,1445435159,1445435170
1445435200,1445442833,1445442893,1445442905
1445466246,1445467136,1445467196,1445467206
1445467236,1445468224,1445468284,1445468294
1445468324,1445469358,1445469418,1445469428
1445469458,1445470423,1445470483,1445470492
1445470522,1445471457,1445471517,1445471529
1445471559,1445472415,1445472475,1445472486
1445472516,1445473320,1445473380,1445473392
1445473422,1445474211,1445474271,1445474282
1445474312,1445478582,1445478642,1445478653
1445478683,1445483814,1445483874,1445483884
1445483914,1445489998,1445490058,1445490070
1445490100,1445496722,1445496782,1445496793
1445496823,1445504331,1445504391,1445504402
1445504432,1445512336,1445512396,1445512406
1445512436,1445521529,1445521589,1445521601
1445521631,1445530621,1445530681,1445530693
1446164213,1446164498,1446164558,1446164561
1446164213,1446164501,1446164561,1446164564
1446164766,1446165155,1446165215,1446165219
1446164774,1446165266,1446165326,1446165329
1446165501,1446165879,1446165939,1446165943
1446165535,1446165890,1446165950,1446165954
1446166154,1446166460,1446166520,1446166523
1446166162,1446166479,1446166539,1446166542
1446166724,1446167022,1446167082,1446167085
1446166749,1446167045,1446167105,1446167108
1446167289,1446167585,1446167645,1446167648
1446167298,1446167597,1446167657,1446167660
1446167852,1446168145,1446168205,1446168208
1446167879,1446168193,1446168253,1446168256
1446168410,1446168725,1446168785,1446168789
1446168449,1446168776,1446168836,1446168839
1446169007,1446169357,1446169417,1446169420
1446169053,1446169403,1446169463,1446169466
1446169636,1446169954,1446170014,1446170017
1446169668,1446169975,1446170035,1446170038
1446170226,1446170550,1446170610,1446170613
1446170231,1446170554,1446170614,1446170617
1446170816,1446171131,1446171191,1446171194
1446170812,1446171141,1446171201,1446171204
1446171395,1446171703,1446171763,1446171766
1446171426,1446171736,1446171796,1446171800
1446171978,1446172272,1446172332,1446172335
1446172011,1446172320,1446172380,1446172383
1446172535,1446172871,1446172931,1446172934
1446172580,1446172906,1446172966,1446172968
1446173146,1446173504,1446173564,1446173567
1446173162,1446173513,1446173573,1446173576
1446173761,1446174124,1446174184,1446174187
1446173770,1446174127,1446174187,1446174190
1446174386,1446174764,1446174824,1446174827
1446174427,1446174794,1446174854,1446174857
1446175046,1446175467,1446175527,1446175531
1446175075,1446175485,1446175545,1446175548
1446175734,1446176148,1446176208,1446176211
1446175768,1446176182,1446176242,1446176245
1446176424,1446176870,1446176930,1446176933
1446176461,1446176872,1446176932,1446176935
1446177148,1446177598,1446177658,1446177662
1446177148,1446177610,1446177670,1446177673
1446177886,1446178360,1446178420,1446178423
1446177918,1446178364,1446178424,1446178427
1446178639,1446179079,1446179139,1446179142
1446178644,1446179148,1446179208,1446179211
1446179382,1446179885,1446179945,1446179948
1446179413,1446179952,1446180012,1446180015
1446219634,1446219905,1446219965,1446219968
1446219679,1446219954,1446220014,1446220017
1446220171,1446220494,1446220554,1446220557
1446220211,1446220539,1446220599,1446220602
1446220761,1446221074,1446221134,1446221138
1446220807,1446221107,1446221167,1446221170
1446221337,1446221692,1446221752,1446221755
1446221362,1446221709,1446221769,1446221772
1446221963,1446222331,1446222391,1446222394
1446221969,1446222357,1446222417,1446222420
1446222602,1446222999,1446223059,1446223063
1446222639,1446223079,1446223139,1446223142
1446223294,1446223745,1446223805,1446223808
1446223331,1446223801,1446223861,1446223864
1446224031,1446224508,1446224568,1446224571
1446224071,1446224594,1446224654,1446224657
1446224784,1446225189,1446225249,1446225252
1446224849,1446225353,1446225413,1446225416
1446225605,1446225967,1446226027,1446226030
1446226217,1446226576,1446226636,1446226639
1446227147,1446227513,1446227573,1446227577
1446227764,1446228209,1446228269,1446228272
